1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.),16 - Latitude (decimal),17 - Longitude (decimal),34 - Skew Angle (degrees),48 - Length of Maximum Span (ft.)
41,Oregon,08107E006 37792,State Highway Agency,45,Malheur County,0,0,No Place Code,1960,11500,Steel,Stringer/Multi-beam or Girder,7,953.4,SNAKE RIVER             ,I-84 (HWY 006) EB ,Fair,63,33156.7,44.007027,-116.94145,0,127
41,Oregon,01000B455 02839,State Highway Agency,45,Malheur County,0,0,No Place Code,1967,23600,Prestressed Concrete Continuous,Stringer/Multi-beam or Girder,9,887.1,SNAKE R. (HWY 493)      ,US 30 (HWY 493)   ,Fair,56,68689.2,44.02498,-116.93527,0,101
41,Oregon,08400 006 37698,State Highway Agency,45,Malheur County,0,0,No Place Code,1960,2297,Concrete Continuous,Stringer/Multi-beam or Girder,5,262.1,I-84 (HWY 006)          ,SE 5TH AVENUE     ,Fair,63,9976.4,44.02121,-116.94737,17,58.1
41,Oregon,18097 455Y02773,State Highway Agency,45,Malheur County,54900,54900,Ontario city,1998,23212,Prestressed Concrete Continuous,Box Beam or Girders - Multiple,2,301.8,I-84 (HWY 6 MP 376.72)  ,US 30 (HWY 493)   ,Good,25,31094.8,44.02474,-116.94887,15,150.9
41,Oregon,08398W006 37600,State Highway Agency,45,Malheur County,0,0,No Place Code,1960,11500,Concrete Continuous,Stringer/Multi-beam or Girder,3,121.1,GRIGG ROAD              ,I-84 (HWY 006) WB ,Fair,63,5401.8,44.03425,-116.95486,0,47.9
41,Oregon,08398E006 37600,State Highway Agency,45,Malheur County,0,54900,Ontario city,1960,11500,Concrete Continuous,Stringer/Multi-beam or Girder,3,121.1,GRIGG ROAD              ,I-84 (HWY 006) EB ,Fair,63,5401.8,44.034073,-116.955055,0,47.9
41,Oregon,04412A450Y01272,State Highway Agency,45,Malheur County,0,0,No Place Code,1973,948,Prestressed Concrete Continuous,Stringer/Multi-beam or Girder,6,740.2,SNAKE RIVER (ADRIAN)    ,HWY 489           ,Fair,50,31325.5,43.73078,-117.07192,0,112.9
41,Oregon,08397E006 37580,State Highway Agency,45,Malheur County,54900,54900,Ontario city,1960,11500,Concrete Continuous,Stringer/Multi-beam or Girder,3,179.1,UPRR (ORE-IDA)          ,I-84 (HWY 006) EB ,Fair,63,8345.5,44.035713,-116.95821,22,69.9
41,Oregon,08397W006 37580,State Highway Agency,45,Malheur County,54900,54900,Ontario city,1960,11500,Concrete Continuous,Stringer/Multi-beam or Girder,3,179.1,UPRR (ORE-IDA)          ,I-84 (HWY 006) WB ,Fair,63,8345.5,44.035915,-116.95815,22,69.9
41,Oregon,01747B450 00873,State Highway Agency,45,Malheur County,0,0,No Place Code,1985,1431,Prestressed Concrete,Slab,7,339.2,OWYHEE RIVER            ,OR 201 (HWY 450)  ,Good,38,13578.4,43.784,-117.0555,0,47.9
41,Oregon,04393A450 00526,State Highway Agency,45,Malheur County,0,0,No Place Code,1967,1286,Prestressed Concrete,Slab,1,41,OWYHEE IRRIGATION DITCH ,OR 201 (HWY 450)  ,Fair,56,1641.5,43.8238,-117.0402,0,40
41,Oregon,04335A455Y02130,State Highway Agency,45,Malheur County,0,0,No Place Code,1953,3400,Steel Continuous,Stringer/Multi-beam or Girder,3,689,Snake River             ,OR 52 (HWY 492)   ,Poor,70,21021.9,44.09565,-116.94044,0,238.8
41,Oregon,04394A450 00653,State Highway Agency,45,Malheur County,0,0,No Place Code,1967,1226,Prestressed Concrete,Slab,1,41,OWYHEE IRRIGATION DITCH ,OR 201 (HWY 450)  ,Fair,56,1641.5,43.816,-117.0556,0,40
41,Oregon,20398 455 02520,State Highway Agency,45,Malheur County,0,54900,Ontario city,2008,11657,Prestressed Concrete Continuous,Stringer/Multi-beam or Girder,2,251,I-84 (HWY 6 MP 374.55)  ,OR 201 (HWY 455)  ,Good,15,18033.3,44.04873,-116.97648,34,129.9
41,Oregon,00731B455 02460,State Highway Agency,45,Malheur County,0,0,No Place Code,1976,11657,Prestressed Concrete Continuous,Stringer/Multi-beam or Girder,5,382.9,MALHEUR RIVER           ,OR 201 (HWY 455)  ,Fair,47,16706.8,44.056385,-116.979004,48,80.1
41,Oregon,07935B006 37408,State Highway Agency,45,Malheur County,0,0,No Place Code,1973,8570,Prestressed Concrete,Stringer/Multi-beam or Girder,5,342.8,MALHEUR RIVER           ,I-84 (HWY 006) WB ,Good,50,19572,44.05334,-116.982155,43,76.1
41,Oregon,07935A006 37407,State Highway Agency,45,Malheur County,0,0,No Place Code,1973,8570,Prestressed Concrete,Stringer/Multi-beam or Girder,5,410.1,MALHEUR RIVER           ,I-84 (HWY 006) EB ,Fair,50,18702.3,44.053364,-116.98258,38,85
41,Oregon,07956 006 37308,State Highway Agency,45,Malheur County,0,0,No Place Code,1956,1393,Concrete Continuous,Stringer/Multi-beam or Girder,5,193.9,I-84 (HWY 006)          ,CHESTER BLVD      ,Fair,67,5407.2,44.064667,-116.99472,23,53.1
41,Oregon,07971A006 37218,State Highway Agency,45,Malheur County,0,0,No Place Code,1972,6080,Prestressed Concrete,Stringer/Multi-beam or Girder,3,143,DOMAN ROAD              ,I-84 (HWY 006) WB ,Fair,51,6523.4,44.075203,-117.00528,15,54.1
41,Oregon,20378 006 37218,State Highway Agency,45,Malheur County,0,0,No Place Code,2007,6080,Prestressed Concrete,Stringer/Multi-beam or Girder,1,115.2,DOMAN ROAD              ,I-84 (HWY 6) EB   ,Good,16,5138.3,44.07506,-117.00547,15,112.9
41,Oregon,07970 006C37145,State Highway Agency,45,Malheur County,0,0,No Place Code,1956,697,Concrete Continuous,Stringer/Multi-beam or Girder,5,221.1,I-84 (HWY 006)          ,STANTON BLVD.     ,Fair,67,6166.6,44.082584,-117.01579,30,59.1
41,Oregon,17192 006C37145,State Highway Agency,45,Malheur County,0,0,No Place Code,1991,5,Prestressed Concrete,Slab,1,56.1,OWYHEE CANAL            ,HWY 457           ,Good,32,2024.7,44.082783,-117.01776,45,51.8
41,Oregon,07936A006 37048,State Highway Agency,45,Malheur County,0,0,No Place Code,1955,12161,Concrete Continuous,Culvert,2,21,OWYHEE CANAL            ,I-84 (HWY 006)    ,Good,68,3589.1,44.09256,-117.0294,10,9.8
41,Oregon,07979B006 36999,State Highway Agency,45,Malheur County,0,0,No Place Code,1972,6080,Prestressed Concrete,Slab,3,113.8,S F JACOBSEN GULCH RD WB,I-84 (HWY 006) WB ,Fair,51,5229.1,44.09771,-117.03626,0,42
41,Oregon,07979A006 36999,State Highway Agency,45,Malheur County,0,0,No Place Code,1973,6080,Prestressed Concrete,Slab,3,113.8,S F JACOBSEN GULCH EB   ,I-84 (HWY 006) EB ,Fair,50,5266.5,44.097424,-117.03661,0,42
41,Oregon,13811 455Y01366,State Highway Agency,45,Malheur County,0,0,No Place Code,2010,3400,Prestressed Concrete Continuous,Stringer/Multi-beam or Girder,6,876,SNAKE RIVER (WEISER)    ,OR 201 (HWY 491)  ,Good,13,40522.9,44.2444,-116.981834,0,146
41,Oregon,07846 007 25218,State Highway Agency,45,Malheur County,0,0,No Place Code,1955,4640,Concrete Continuous,Culvert,2,20,NEVADA DITCH            ,US 20 (HWY 007)   ,Good,68,643.5,43.98143,-117.124275,35,7.9
41,Oregon,07845 007 25177,State Highway Agency,45,Malheur County,0,0,No Place Code,1955,4640,Concrete Continuous,Culvert,2,24.9,NEVADA DITCH CANAL      ,US 20 (HWY 007)   ,Good,68,801.7,43.981564,-117.13262,40,7.9
41,Oregon,01945A456 05297,State Highway Agency,45,Malheur County,0,0,No Place Code,1936,1483,Steel,Truss - Deck,2,335,OWYHEE RIVER (ROME)     ,US 95 (HWY 456)   ,Fair,87,11429.5,42.84053,-117.62369,0,120.1
41,Oregon,09838 006 36215,State Highway Agency,45,Malheur County,0,0,No Place Code,1972,5468,Concrete Continuous,Slab,3,137.1,MOORES HOLLOW INT WB    ,I-84 (HWY 006) WB ,Fair,51,6254,44.18263,-117.13566,0,69.9
41,Oregon,09838A006 36215,State Highway Agency,45,Malheur County,0,0,No Place Code,1973,5468,Concrete Continuous,Slab,3,137.1,MOORES HOLLOW INT EB    ,I-84 (HWY 006) EB ,Fair,50,6254,44.18237,-117.13607,0,69.9
41,Oregon,08979 012 07080,State Highway Agency,1,Baker County,0,0,No Place Code,1961,98,Steel,Stringer/Multi-beam or Girder,9,481.6,SNAKE RIVER(OXBOW)      ,OR 86 (HWY 012)   ,Poor,62,15011.3,44.97525,-116.85591,0,60
41,Oregon,19919 007 24661,State Highway Agency,45,Malheur County,76600,0,No Place Code,2005,2284,Prestressed Concrete Continuous,Stringer/Multi-beam or Girder,3,276.9,MALHEUR R (VALE)        ,US 20 W (HWY 7 WB),Fair,18,14535.6,43.98276,-117.23393,40,98.4
41,Oregon,00599B007 24655,State Highway Agency,45,Malheur County,76600,0,No Place Code,1988,2284,Prestressed Concrete,Stringer/Multi-beam or Girder,3,299.9,MALHEUR RIVER (VALE)    ,US 20 (HWY 007)EB ,Fair,35,11609.1,43.981853,-117.23527,40,100.1
41,Oregon,19918 007 24429,State Highway Agency,45,Malheur County,0,0,No Place Code,2005,2321,Prestressed Concrete,Stringer/Multi-beam or Girder,1,105,BULLY CREEK             ,US 20 (HWY 007)   ,Fair,18,4891.1,43.9673,-117.2721,35,105
41,Oregon,08083A006 35617,State Highway Agency,45,Malheur County,0,0,No Place Code,1973,10908,Prestressed Concrete,Stringer/Multi-beam or Girder,1,219.2,OLDS FERRY INTERCHANGE  ,I-84 (HWY 006)    ,Fair,50,21211.3,44.2591,-117.1799,34,140.1
41,Oregon,16032 012 06365,State Highway Agency,1,Baker County,0,0,No Place Code,1958,225,Concrete Continuous,Stringer/Multi-beam or Girder,3,85,NORTH PINE CREEK        ,OR 86 (HWY 012)   ,Fair,65,2620.6,44.91063,-116.94888,0,51.8
41,Oregon,08364 006 35423,State Highway Agency,45,Malheur County,0,0,No Place Code,1958,11137,Concrete Continuous,Culvert,2,36.1,BIRCH CREEK             ,I-84 (HWY 006)    ,Fair,65,3208.7,44.2776,-117.2083,10,17.1
41,Oregon,09120 006 35304,State Highway Agency,45,Malheur County,0,0,No Place Code,1967,5568,Prestressed Concrete,Stringer/Multi-beam or Girder,3,175.9,BENSON CRK I/C WB       ,I-84 (HWY 006) WB ,Good,56,7384.9,44.290512,-117.223434,15,80.1
41,Oregon,09120A006 35304,State Highway Agency,45,Malheur County,0,0,No Place Code,1967,5568,Prestressed Concrete,Stringer/Multi-beam or Girder,3,175.9,BENSON CRK I/C EB       ,I-84 (HWY 006) EB ,Good,56,7384.9,44.29026,-117.22384,15,80.1
41,Oregon,01648A449 01003,State Highway Agency,45,Malheur County,0,0,No Place Code,1957,911,Concrete Continuous,Tee Beam,3,85,BENSON CREEK            ,US 30 (HWY 449)   ,Good,66,2397.6,44.3007,-117.227,0,51.8
41,Oregon,01407A007 23866,State Highway Agency,45,Malheur County,0,0,No Place Code,1966,1950,Prestressed Concrete,Slab,4,252.6,MALHEUR RIVER (HOPE)    ,US 20 (HWY 007)   ,Fair,57,14089.9,43.93949,-117.36584,0,49.9
41,Oregon,01624A451 00468,State Highway Agency,45,Malheur County,0,0,No Place Code,1969,225,Prestressed Concrete,Slab,1,49.9,BULLY CREEK             ,HWY 451           ,Fair,54,1603.4,43.982887,-117.36495,0,48.9
41,Oregon,02842A012 05651,State Highway Agency,1,Baker County,0,0,No Place Code,1987,245,Prestressed Concrete,Slab,1,23.6,W FORK DRY CREEK        ,OR 86 (HWY 012)   ,Fair,36,852.5,44.8775,-117.0484,8,22
41,Oregon,09121 006 35020,State Highway Agency,1,Baker County,0,0,No Place Code,1967,5568,Concrete Continuous,Slab,3,121.1,BENSON CREEK RD         ,I-84 (HWY 006) WB ,Fair,56,5084,44.317398,-117.2664,0,47.9
41,Oregon,09121A006 35020,State Highway Agency,1,Baker County,0,0,No Place Code,1967,5568,Concrete Continuous,Slab,3,121.1,BENSON CREEK RD         ,I-84 (HWY 006) EB ,Fair,56,5084,44.3172,-117.2667,0,47.9
41,Oregon,0M364 012 05586,State Highway Agency,1,Baker County,0,0,No Place Code,1958,245,Concrete Continuous,Culvert,3,28.9,EAST PINE CREEK         ,OR 86 (HWY 012)   ,Fair,65,805.1,44.87732,-117.0611,0,8.9
41,Oregon,17346 012 05503,State Highway Agency,1,Baker County,0,0,No Place Code,1993,313,Prestressed Concrete,Slab,1,67.9,CLEAR CREEK             ,OR 86 (HWY 012)   ,Good,30,2183.6,44.8772,-117.077736,30,67.9
41,Oregon,17444 449 00456,State Highway Agency,1,Baker County,0,0,No Place Code,1995,872,Prestressed Concrete,Stringer/Multi-beam or Girder,1,110.9,BURNT RIVER (DURBIN)    ,US 30 (HWY 449)   ,Fair,28,3892.9,44.3626,-117.2815,0,109.9
41,Oregon,09125 006 34784,State Highway Agency,1,Baker County,0,0,No Place Code,1967,139,Steel Continuous,Stringer/Multi-beam or Girder,4,348.8,I-84 (HWY 006) MP 347.84,DURBIN CR RD      ,Good,56,11899.7,44.347,-117.2881,32,125
41,Oregon,08405 012 05391,State Highway Agency,1,Baker County,0,0,No Place Code,1958,147,Concrete Continuous,Stringer/Multi-beam or Girder,3,84,PINE CREEK              ,OR 86 (HWY 012)   ,Fair,65,2590.2,44.871128,-117.09349,0,51.8
41,Oregon,20485 449 00390,State Highway Agency,1,Baker County,0,0,No Place Code,2009,260,Prestressed Concrete,Stringer/Multi-beam or Girder,1,108.6,BURNT RIVER             ,US 30 (HWY 449)   ,Good,14,4417.9,44.37016,-117.288025,10,107.6
41,Oregon,18074 350 02934,State Highway Agency,63,Wallowa County,0,0,No Place Code,1997,251,Steel,Stringer/Multi-beam or Girder,1,111.5,IMNAHA RIVER            ,HWY 350           ,Fair,26,3220.6,45.559353,-116.8341,99,109.9
41,Oregon,02836A414 00044,State Highway Agency,1,Baker County,0,31650,Halfway city,1960,340,Concrete Continuous,Slab,3,81,PINE CREEK (HALFWAY)    ,HWY 414           ,Fair,63,2499.2,44.87724,-117.1005,44,32.2
41,Oregon,09123 006 34583,State Highway Agency,1,Baker County,0,0,No Place Code,1967,10179,Prestressed Concrete,Stringer/Multi-beam or Girder,3,193.6,N HUNTINGTON I/C        ,I-84 (HWY 006)    ,Fair,56,15495.7,44.37501,-117.29866,0,69.9
41,Oregon,02069A350 02810,State Highway Agency,63,Wallowa County,0,0,No Place Code,1991,251,Prestressed Concrete,Slab,1,58.1,CAMP CREEK              ,HWY 350           ,Good,32,1867.1,45.546215,-116.84986,0,56.1
41,Oregon,21252 449 00275,State Highway Agency,1,Baker County,0,0,No Place Code,2012,169,Prestressed Concrete,Stringer/Multi-beam or Girder,1,160.1,BURNT RIVER AND UPRR    ,US 30 (HWY 449)   ,Good,11,4885.1,44.378597,-117.29843,15,160.1
41,Oregon,20482 006 34291,State Highway Agency,1,Baker County,0,0,No Place Code,2009,10236,Prestressed Concrete Continuous,Box Beam or Girders - Multiple,3,461,LIME I/C AND UPRR       ,I-84 (HWY 006)    ,Fair,14,42798.9,44.4119,-117.3083,35,174.9
41,Oregon,01788 449 00046,State Highway Agency,1,Baker County,0,0,No Place Code,1934,55,Steel,Stringer/Multi-beam or Girder,1,123,BURNT RIVER (LIME)      ,US 30 (HWY 449)   ,Fair,89,3188.8,44.410793,-117.30805,38,60
41,Oregon,04374A007 22840,State Highway Agency,45,Malheur County,0,0,No Place Code,1962,1578,Concrete Continuous,Slab,3,50.9,LITTLE SANDY CREEK      ,US 20 (HWY 007)   ,Good,61,2152.2,43.876698,-117.5191,0,20
41,Oregon,01787A006 34186,State Highway Agency,1,Baker County,0,0,No Place Code,1971,10236,Prestressed Concrete Continuous,Stringer/Multi-beam or Girder,3,182.4,BURNT RIVER(JETT CR)    ,I-84 (HWY 006)    ,Fair,52,16517.9,44.42616,-117.313995,42,64
41,Oregon,04373A007 22774,State Highway Agency,45,Malheur County,0,0,No Place Code,1962,1578,Concrete Continuous,Slab,3,80.7,BUCKAROO CABIN CREEK    ,US 20 (HWY 007)   ,Good,61,3415.8,43.87532,-117.52268,0,32.2
41,Oregon,01122A012 04064,State Highway Agency,1,Baker County,0,0,No Place Code,1925,697,Steel,Truss - Thru,1,100.1,EAGLE CRK (RICHLAND)    ,OR 86 (HWY 012)   ,Fair,98,2954.7,44.7625,-117.1786,0,100.1
41,Oregon,01786A006 34058,State Highway Agency,1,Baker County,0,0,No Place Code,1971,10278,Prestressed Concrete Continuous,Stringer/Multi-beam or Girder,3,186.4,BURNT RIVER(DIXIE CR)   ,I-84 (HWY 006)    ,Fair,52,16874.4,44.442646,-117.32495,48,71.9
41,Oregon,20484 006C34059,State Highway Agency,1,Baker County,0,0,No Place Code,2008,43,Prestressed Concrete,Stringer/Multi-beam or Girder,1,109.6,BURNT RIVER(DIXIE CONN) ,HWY 6 (CONN # 3)  ,Good,15,3379.4,44.442467,-117.32565,10,107.6
41,Oregon,09394 006C34042,State Highway Agency,1,Baker County,0,0,No Place Code,1971,20,Concrete Continuous,Box Beam or Girders - Multiple,3,209,I-84 (HWY 6) DIXIE I/C  ,HWY 6 CONN #2     ,Fair,52,7199.4,44.444847,-117.326,0,111.9
41,Oregon,09820 006C34042,State Highway Agency,1,Baker County,0,0,No Place Code,1971,20,Prestressed Concrete,Stringer/Multi-beam or Girder,2,169.9,UPRR (DIXIE INTERCHANGE),HWY 6  CONN #2    ,Good,52,4850.9,44.44463,-117.32696,19,60
41,Oregon,01783A006 33899,State Highway Agency,1,Baker County,0,0,No Place Code,1971,10267,Prestressed Concrete,Stringer/Multi-beam or Girder,3,217.5,BURNT RIVER(CHIMNEY CR) ,I-84 (HWY 006)    ,Good,52,19696.6,44.461975,-117.33489,99,73.2
41,Oregon,17944 007 22553,State Highway Agency,45,Malheur County,0,0,No Place Code,1996,1586,Prestressed Concrete,Box Beam or Girders - Multiple,1,76.1,COTTONWOOD CREEK        ,US 20 (HWY 007)   ,Good,27,3046.6,43.871098,-117.5636,0,71.9
41,Oregon,09375 006 33811,State Highway Agency,1,Baker County,0,0,No Place Code,1971,10267,Concrete Continuous,Slab,3,102.4,LOOKOUT MT I/C          ,I-84 (HWY 006)    ,Good,52,9269,44.47341,-117.34054,0,49.9
41,Oregon,02203A006 33763,State Highway Agency,1,Baker County,0,0,No Place Code,1971,10267,Prestressed Concrete Continuous,Stringer/Multi-beam or Girder,3,230.6,BURNT RIVER(JORDAN CR)  ,I-84 (HWY 006)    ,Fair,52,20885,44.47964,-117.34451,22,87.9
41,Oregon,01781A006 33727,State Highway Agency,1,Baker County,0,0,No Place Code,1971,10267,Prestressed Concrete,Stringer/Multi-beam or Girder,3,260.5,BURNT RIVER (RR TUNNEL) ,I-84 (HWY 006)    ,Good,52,23588.4,44.48399,-117.34791,99,92.8
41,Oregon,06598A413 00570,State Highway Agency,1,Baker County,0,0,No Place Code,1973,46,Prestressed Concrete,Slab,1,56.1,PINE CREEK (CARSON)     ,HWY 413           ,Fair,50,2024.7,44.9409,-117.1782,30,55.1
41,Oregon,18881 350 01369,State Highway Agency,63,Wallowa County,0,0,No Place Code,2001,186,Prestressed Concrete,Slab,1,37.1,LITTLE SHEEP CREEK      ,HWY 350           ,Good,22,1192,45.4018,-117.0112,0,36.1
41,Oregon,18882 350 01441,State Highway Agency,63,Wallowa County,0,0,No Place Code,2001,186,Prestressed Concrete,Slab,1,37.1,LITTLE SHEEP CREEK      ,HWY 350           ,Good,22,1192,45.412,-117.01,0,36.1
41,Oregon,01926A350 01512,State Highway Agency,63,Wallowa County,0,0,No Place Code,1962,186,Concrete Continuous,Tee Beam,3,73.2,LITTLE SHEEP CREEK      ,HWY 350           ,Good,61,2256.3,45.4221,-117.0085,0,47.9
41,Oregon,02084 350 01605,State Highway Agency,63,Wallowa County,0,0,No Place Code,1935,186,Concrete,Stringer/Multi-beam or Girder,1,24,LITTLE SHEEP CREEK      ,HWY 350           ,Fair,88,652.2,45.4355,-117.0069,0,23
41,Oregon,09332 006 33576,State Highway Agency,1,Baker County,0,0,No Place Code,1972,9308,Prestressed Concrete,Stringer/Multi-beam or Girder,3,167,WEATHERBY INTERCHANGE   ,I-84 (HWY 006)    ,Good,51,15121.6,44.49659,-117.36846,0,78.4
41,Oregon,09333 006C33571,State Highway Agency,1,Baker County,0,0,No Place Code,1972,447,Prestressed Concrete,Slab,1,60,BURNT R(WEATHERBY) R/W  ,HWY 6 CONN #2     ,Fair,51,1674.3,44.49631,-117.369316,0,60
41,Oregon,06600A413 00041,State Highway Agency,1,Baker County,0,0,No Place Code,1990,4,Steel,Stringer/Multi-beam or Girder,1,80.1,PINE CRK (CORNUCOPIA)   ,HWY 413           ,Fair,33,1602.1,45.0098,-117.1948,0,76.1
41,Oregon,16811 012 03186,State Highway Agency,1,Baker County,0,0,No Place Code,1987,524,Prestressed Concrete,Stringer/Multi-beam or Girder,3,341.2,POWDER RIVER            ,OR 86 (HWY 12)    ,Fair,36,13321.4,44.79622,-117.30666,35,140.1
41,Oregon,19917 007 21678,State Highway Agency,45,Malheur County,0,0,No Place Code,2004,1378,Prestressed Concrete,Slab,1,69.6,SQUAW CRK               ,US 20 (Hwy 007)   ,Good,19,2784,43.7879,-117.6915,2,69.6
41,Oregon,16810 012 03071,State Highway Agency,1,Baker County,0,0,No Place Code,1987,524,Prestressed Concrete,Stringer/Multi-beam or Girder,3,386.2,POWDER RIVER            ,OR 86 (HWY 12)    ,Fair,36,15076.2,44.80644,-117.32252,0,134.8
41,Oregon,08528 006 33067,State Highway Agency,1,Baker County,0,0,No Place Code,1972,5114,Prestressed Concrete,Stringer/Multi-beam or Girder,3,163.1,NELSON POINT INT WB     ,I-84 (HWY 006) WB ,Good,51,7275.5,44.550117,-117.42195,0,59.1
41,Oregon,08528A006 33067,State Highway Agency,1,Baker County,0,0,No Place Code,1972,5114,Prestressed Concrete,Stringer/Multi-beam or Girder,3,179.1,NELSON POINT INT EB     ,I-84 (HWY 006) EB ,Good,51,7992.8,44.54999,-117.422386,0,59.1
41,Oregon,00546A005 25297,State Highway Agency,45,Malheur County,0,0,No Place Code,1979,382,Prestressed Concrete,Slab,1,55.8,POLE CREEK              ,US 26 (HWY 005)   ,Fair,44,2012.8,44.2561,-117.5457,45,55.1
41,Oregon,19916 007 21446,State Highway Agency,45,Malheur County,0,0,No Place Code,2004,1346,Prestressed Concrete,Box Beam or Girders - Multiple,1,116.1,MALHEUR R (NAMORF)      ,US 20 (Hwy 007)   ,Good,19,5106,43.7831,-117.733,3,115.2
41,Oregon,19915 007 21342,State Highway Agency,45,Malheur County,0,0,No Place Code,2004,1346,Prestressed Concrete,Stringer/Multi-beam or Girder,1,136.2,MALHEUR R (DIVERSION)   ,US 20 (Hwy 007)   ,Fair,19,5315.8,43.777798,-117.7427,0,134.8
41,Oregon,00589A005 25188,State Highway Agency,45,Malheur County,0,0,No Place Code,1979,382,Prestressed Concrete,Slab,1,65.6,CANYON CREEK            ,US 26 (HWY 005)   ,Good,44,2368.1,44.2596,-117.567,45,65
41,Oregon,09044 006 32743,State Highway Agency,1,Baker County,0,0,No Place Code,1966,4952,Prestressed Concrete,Stringer/Multi-beam or Girder,3,190.9,DURKEE INT WB           ,I-84 (HWY 006) WB ,Good,57,8018.7,44.586742,-117.461494,13,63
41,Oregon,09044A006 32743,State Highway Agency,1,Baker County,0,0,No Place Code,1966,4952,Prestressed Concrete,Stringer/Multi-beam or Girder,3,179.1,DURKEE INT EB           ,I-84 (HWY 006) EB ,Good,57,7522.7,44.5866,-117.46183,13,59.1
41,Oregon,07918 351 00652,State Highway Agency,63,Wallowa County,0,78160,Wallowa Lake CDP,1955,138,Concrete,Stringer/Multi-beam or Girder,1,25.9,EAST FORK WALLOWA RIVER ,HWY 351           ,Fair,68,790.8,45.2729,-117.2113,0,24.9
41,Oregon,04917A351F00606,State Highway Agency,63,Wallowa County,0,78160,Wallowa Lake CDP,1950,413,Concrete Continuous,Slab,4,85,WALLOWA R (STATE PARK)  ,FR RD HWY 351     ,Fair,73,2927.2,45.28081,-117.20938,0,22
41,Oregon,09475 006 32624,State Highway Agency,1,Baker County,0,0,No Place Code,1966,4952,Prestressed Concrete,Stringer/Multi-beam or Girder,3,151.9,HOOKER RANCH RD.        ,I-84 (HWY 006) WB ,Good,57,6379.1,44.601032,-117.4739,0,49.9
